State Name,City Name,Month,Day of Week,Weather Conditions,Accident Location Details
Bihar,Some City,August,Sunday,Clear,Intersection
Goa,Some City,February,Thursday,Rainy,Intersection
Assam,Some City,October,Sunday,Clear,Intersection
Jharkhand,Some City,October,Wednesday,Rainy,Curve
Nagaland,Some City,December,Tuesday,Foggy,Curve
Andhra Pradesh,Visakhapatnam,May,Saturday,Stormy,Intersection
Chhattisgarh,Some City,March,Monday,Stormy,Curve
Madhya Pradesh,Some City,January,Sunday,Clear,Curve
Nagaland,Some City,August,Saturday,Rainy,Intersection
Bihar,Some City,May,Sunday,Hazy,Intersection
Sikkim,Some City,September,Monday,Hazy,Intersection
Delhi,Dwarka,November,Thursday,Foggy,Intersection
Kerala,Some City,March,Thursday,Clear,Intersection
Uttarakhand,Some City,December,Thursday,Stormy,Intersection
Himachal Pradesh,Some City,March,Saturday,Hazy,Intersection
Uttarakhand,Some City,April,Saturday,Stormy,Curve
Haryana,Some City,October,Wednesday,Foggy,Intersection
Manipur,Some City,April,Monday,Foggy,Intersection
Rajasthan,Udaipur,October,Saturday,Hazy,Intersection
Delhi,New Delhi,February,Monday,Clear,Curve
Jammu and Kashmir,Some City,June,Friday,Rainy,Intersection
Sikkim,Some City,February,Thursday,Stormy,Intersection
Maharashtra,Mumbai,October,Thursday,Rainy,Intersection
Assam,Some City,July,Thursday,Rainy,Intersection
Madhya Pradesh,Some City,November,Wednesday,Hazy,Curve
Puducherry,Some City,December,Monday,Foggy,Intersection
Arunachal Pradesh,Some City,August,Tuesday,Foggy,Curve
Uttarakhand,Some City,December,Thursday,Rainy,Curve
Nagaland,Some City,December,Wednesday,Clear,Intersection
Mizoram,Some City,January,Friday,Hazy,Curve
Meghalaya,Some City,May,Friday,Foggy,Curve
Haryana,Some City,October,Monday,Foggy,Curve
Andhra Pradesh,Tirupati,December,Sunday,Hazy,Curve
Uttarakhand,Some City,March,Monday,Clear,Curve
Bihar,Some City,August,Monday,Foggy,Curve
Bihar,Some City,November,Wednesday,Hazy,Intersection
Bihar,Some City,May,Saturday,Foggy,Intersection
Uttar Pradesh,Kanpur,May,Wednesday,Clear,Intersection
Meghalaya,Some City,January,Saturday,Rainy,Intersection
Punjab,Some City,August,Wednesday,Hazy,Intersection
Kerala,Some City,March,Friday,Rainy,Curve
Chhattisgarh,Some City,October,Wednesday,Rainy,Intersection
Karnataka,Mangalore,March,Thursday,Rainy,Intersection
Mizoram,Some City,October,Friday,Foggy,Intersection
Chhattisgarh,Some City,March,Tuesday,Clear,Curve
Bihar,Some City,August,Sunday,Rainy,Intersection
Arunachal Pradesh,Some City,November,Monday,Stormy,Curve
Haryana,Some City,September,Wednesday,Rainy,Curve
Bihar,Some City,March,Thursday,Hazy,Curve
Telangana,Some City,October,Friday,Hazy,Intersection
Goa,Some City,July,Friday,Foggy,Intersection
West Bengal,Durgapur,September,Friday,Hazy,Curve
West Bengal,Siliguri,November,Friday,Stormy,Curve
Delhi,Dwarka,December,Tuesday,Hazy,Intersection
Uttarakhand,Some City,May,Saturday,Rainy,Intersection
Meghalaya,Some City,July,Saturday,Rainy,Intersection
Uttar Pradesh,Kanpur,April,Sunday,Clear,Curve
Arunachal Pradesh,Some City,November,Tuesday,Stormy,Curve
Tripura,Some City,January,Monday,Clear,Curve
Andhra Pradesh,Visakhapatnam,August,Wednesday,Hazy,Curve
Telangana,Some City,July,Wednesday,Clear,Curve
Assam,Some City,November,Monday,Clear,Curve
Maharashtra,Mumbai,November,Wednesday,Clear,Intersection
Jammu and Kashmir,Some City,September,Monday,Foggy,Intersection
Chandigarh,Some City,October,Tuesday,Hazy,Curve
Jharkhand,Some City,August,Friday,Foggy,Curve
Uttarakhand,Some City,February,Wednesday,Foggy,Intersection
Sikkim,Some City,August,Wednesday,Hazy,Curve
Assam,Some City,May,Thursday,Stormy,Intersection
Assam,Some City,June,Saturday,Stormy,Curve
Andhra Pradesh,Tirupati,October,Tuesday,Rainy,Intersection
Goa,Some City,March,Thursday,Hazy,Intersection
Himachal Pradesh,Some City,November,Monday,Foggy,Intersection
Puducherry,Some City,January,Sunday,Hazy,Intersection
Puducherry,Some City,October,Thursday,Clear,Intersection
Puducherry,Some City,May,Saturday,Rainy,Intersection
Jammu and Kashmir,Some City,July,Friday,Stormy,Intersection
Uttarakhand,Some City,April,Friday,Clear,Intersection
Punjab,Some City,October,Sunday,Stormy,Intersection
Rajasthan,Udaipur,April,Saturday,Stormy,Intersection
Rajasthan,Jaipur,August,Friday,Foggy,Curve
Arunachal Pradesh,Some City,August,Wednesday,Stormy,Intersection
Punjab,Some City,October,Tuesday,Stormy,Intersection
Himachal Pradesh,Some City,July,Tuesday,Clear,Curve
Kerala,Some City,June,Wednesday,Stormy,Intersection
Uttarakhand,Some City,March,Saturday,Clear,Intersection
Chhattisgarh,Some City,April,Tuesday,Stormy,Curve
Rajasthan,Jaipur,March,Sunday,Hazy,Intersection
Kerala,Some City,August,Monday,Rainy,Curve
Tamil Nadu,Coimbatore,August,Friday,Foggy,Intersection
Jharkhand,Some City,October,Monday,Foggy,Curve
Rajasthan,Jodhpur,November,Thursday,Stormy,Curve
Goa,Some City,August,Thursday,Rainy,Intersection
Mizoram,Some City,December,Sunday,Hazy,Curve
Kerala,Some City,July,Sunday,Rainy,Intersection
Bihar,Some City,January,Wednesday,Stormy,Curve
Kerala,Some City,April,Saturday,Foggy,Intersection
Sikkim,Some City,June,Friday,Clear,Intersection
Meghalaya,Some City,January,Monday,Rainy,Curve
Uttarakhand,Some City,July,Sunday,Foggy,Intersection
Sikkim,Some City,May,Monday,Clear,Curve
Kerala,Some City,May,Saturday,Clear,Intersection
Uttarakhand,Some City,September,Wednesday,Hazy,Intersection
Maharashtra,Nagpur,January,Thursday,Foggy,Intersection
Goa,Some City,April,Saturday,Rainy,Intersection
Uttar Pradesh,Lucknow,December,Saturday,Hazy,Curve
Rajasthan,Udaipur,October,Wednesday,Rainy,Intersection
Telangana,Some City,January,Monday,Hazy,Curve
Assam,Some City,October,Monday,Rainy,Curve
Tripura,Some City,April,Monday,Foggy,Intersection
Andhra Pradesh,Vijayawada,March,Tuesday,Foggy,Curve
Karnataka,Bangalore,August,Friday,Rainy,Curve
Sikkim,Some City,July,Friday,Stormy,Intersection
Manipur,Some City,March,Thursday,Hazy,Intersection
Punjab,Some City,August,Wednesday,Stormy,Curve
Maharashtra,Mumbai,June,Monday,Clear,Curve
Rajasthan,Jaipur,February,Monday,Foggy,Curve
Odisha,Some City,May,Sunday,Stormy,Intersection
Himachal Pradesh,Some City,February,Saturday,Hazy,Curve
Arunachal Pradesh,Some City,October,Saturday,Rainy,Curve
Meghalaya,Some City,June,Thursday,Hazy,Intersection
Tamil Nadu,Chennai,September,Sunday,Stormy,Intersection
Gujarat,Surat,February,Monday,Foggy,Intersection
Odisha,Some City,December,Friday,Rainy,Intersection
Jammu and Kashmir,Some City,November,Sunday,Rainy,Intersection
Telangana,Some City,August,Saturday,Stormy,Curve
Arunachal Pradesh,Some City,August,Monday,Stormy,Intersection
Jharkhand,Some City,September,Sunday,Clear,Curve
Andhra Pradesh,Tirupati,March,Thursday,Foggy,Curve
Bihar,Some City,May,Saturday,Clear,Intersection
Gujarat,Ahmedabad,March,Wednesday,Hazy,Intersection
Sikkim,Some City,January,Wednesday,Foggy,Curve
Telangana,Some City,February,Sunday,Foggy,Intersection
West Bengal,Siliguri,July,Tuesday,Rainy,Intersection
Bihar,Some City,April,Saturday,Foggy,Intersection
Himachal Pradesh,Some City,July,Wednesday,Stormy,Curve
Himachal Pradesh,Some City,October,Sunday,Foggy,Intersection
Tamil Nadu,Coimbatore,January,Friday,Foggy,Intersection
Chhattisgarh,Some City,December,Saturday,Rainy,Curve
Mizoram,Some City,December,Monday,Foggy,Intersection
Haryana,Some City,May,Thursday,Stormy,Intersection
Tamil Nadu,Chennai,April,Friday,Foggy,Curve
Uttar Pradesh,Kanpur,December,Friday,Clear,Curve
Gujarat,Surat,March,Friday,Clear,Intersection
Uttar Pradesh,Kanpur,June,Wednesday,Rainy,Curve
Delhi,Dwarka,June,Sunday,Rainy,Intersection
Kerala,Some City,May,Monday,Rainy,Curve
Tripura,Some City,August,Friday,Stormy,Curve
Telangana,Some City,May,Sunday,Stormy,Curve
Goa,Some City,October,Wednesday,Foggy,Curve
Kerala,Some City,September,Friday,Rainy,Curve
Arunachal Pradesh,Some City,April,Thursday,Stormy,Intersection
Manipur,Some City,June,Sunday,Stormy,Curve
Sikkim,Some City,June,Friday,Foggy,Curve
Haryana,Some City,May,Friday,Foggy,Intersection
Maharashtra,Mumbai,April,Friday,Stormy,Curve
Chandigarh,Some City,November,Wednesday,Hazy,Curve
Tripura,Some City,February,Monday,Hazy,Curve
Punjab,Some City,March,Sunday,Stormy,Curve
Jharkhand,Some City,February,Tuesday,Clear,Intersection
Delhi,New Delhi,September,Monday,Foggy,Intersection
Karnataka,Mysore,December,Friday,Hazy,Curve
Rajasthan,Udaipur,August,Sunday,Hazy,Curve
Jammu and Kashmir,Some City,March,Wednesday,Hazy,Intersection
Assam,Some City,August,Wednesday,Rainy,Intersection
Goa,Some City,December,Friday,Foggy,Intersection
Andhra Pradesh,Vijayawada,October,Wednesday,Hazy,Intersection
Maharashtra,Pune,June,Monday,Hazy,Intersection
Rajasthan,Jodhpur,December,Monday,Rainy,Curve
Chandigarh,Some City,February,Monday,Hazy,Intersection
Kerala,Some City,February,Monday,Hazy,Intersection
Telangana,Some City,November,Monday,Foggy,Intersection
Telangana,Some City,September,Monday,Foggy,Intersection
Punjab,Some City,September,Saturday,Hazy,Intersection
Bihar,Some City,February,Monday,Rainy,Curve
Uttar Pradesh,Lucknow,September,Saturday,Foggy,Intersection
Goa,Some City,April,Thursday,Clear,Curve
Nagaland,Some City,January,Friday,Clear,Intersection
Tamil Nadu,Madurai,December,Tuesday,Stormy,Curve
Uttarakhand,Some City,June,Tuesday,Foggy,Curve
Meghalaya,Some City,February,Wednesday,Stormy,Intersection
Madhya Pradesh,Some City,February,Friday,Clear,Intersection
Sikkim,Some City,July,Wednesday,Hazy,Intersection
Delhi,New Delhi,February,Wednesday,Hazy,Intersection
West Bengal,Durgapur,January,Monday,Clear,Curve
Kerala,Some City,January,Saturday,Stormy,Curve
Uttarakhand,Some City,August,Thursday,Hazy,Intersection
Bihar,Some City,November,Monday,Rainy,Curve
Manipur,Some City,April,Saturday,Stormy,Intersection
Sikkim,Some City,March,Saturday,Foggy,Curve
Kerala,Some City,June,Saturday,Stormy,Intersection
Maharashtra,Mumbai,April,Monday,Clear,Intersection
Chhattisgarh,Some City,October,Saturday,Hazy,Curve
Jammu and Kashmir,Some City,May,Wednesday,Foggy,Curve
Gujarat,Vadodara,November,Friday,Clear,Intersection
Himachal Pradesh,Some City,May,Monday,Rainy,Intersection
Gujarat,Ahmedabad,June,Monday,Hazy,Curve
Andhra Pradesh,Vijayawada,December,Thursday,Stormy,Curve
Jammu and Kashmir,Some City,October,Monday,Hazy,Curve
Mizoram,Some City,June,Thursday,Rainy,Curve
Maharashtra,Mumbai,December,Monday,Rainy,Curve
Punjab,Some City,February,Friday,Clear,Intersection
Uttar Pradesh,Varanasi,October,Saturday,Foggy,Intersection
Chhattisgarh,Some City,September,Friday,Rainy,Intersection
Jharkhand,Some City,March,Friday,Rainy,Curve
Sikkim,Some City,September,Wednesday,Rainy,Intersection
Punjab,Some City,September,Thursday,Rainy,Curve
West Bengal,Kolkata,January,Saturday,Hazy,Curve
Tripura,Some City,August,Thursday,Foggy,Curve
Andhra Pradesh,Tirupati,July,Sunday,Hazy,Curve
Maharashtra,Nagpur,July,Wednesday,Rainy,Curve
Andhra Pradesh,Visakhapatnam,December,Thursday,Clear,Intersection
Meghalaya,Some City,June,Wednesday,Rainy,Curve
Manipur,Some City,July,Friday,Hazy,Curve
Karnataka,Mysore,June,Friday,Clear,Intersection
Uttar Pradesh,Kanpur,October,Saturday,Stormy,Intersection
Meghalaya,Some City,May,Monday,Rainy,Intersection
Manipur,Some City,January,Wednesday,Stormy,Curve
Andhra Pradesh,Tirupati,November,Saturday,Rainy,Curve
Himachal Pradesh,Some City,March,Saturday,Clear,Curve
Uttar Pradesh,Lucknow,February,Monday,Stormy,Intersection
Tamil Nadu,Coimbatore,June,Friday,Stormy,Curve
Punjab,Some City,September,Monday,Rainy,Curve
Uttar Pradesh,Lucknow,February,Monday,Hazy,Intersection
Rajasthan,Jaipur,February,Friday,Hazy,Curve
Jammu and Kashmir,Some City,April,Friday,Hazy,Intersection
Odisha,Some City,October,Friday,Rainy,Intersection
Rajasthan,Jaipur,May,Monday,Hazy,Curve
Bihar,Some City,November,Tuesday,Clear,Intersection
Delhi,New Delhi,December,Friday,Stormy,Curve
Manipur,Some City,February,Sunday,Rainy,Curve
Jammu and Kashmir,Some City,April,Friday,Rainy,Intersection
West Bengal,Kolkata,July,Wednesday,Hazy,Curve
Maharashtra,Pune,October,Wednesday,Hazy,Intersection
Mizoram,Some City,May,Sunday,Clear,Intersection
Bihar,Some City,September,Monday,Foggy,Intersection
Sikkim,Some City,November,Wednesday,Clear,Curve
Karnataka,Mysore,March,Thursday,Hazy,Intersection
Sikkim,Some City,January,Monday,Hazy,Intersection
Nagaland,Some City,October,Thursday,Stormy,Intersection
Chhattisgarh,Some City,February,Wednesday,Stormy,Curve
Gujarat,Surat,January,Friday,Rainy,Curve
Gujarat,Vadodara,September,Monday,Clear,Curve
Bihar,Some City,September,Tuesday,Hazy,Curve
Rajasthan,Jodhpur,January,Tuesday,Clear,Intersection
Rajasthan,Jodhpur,December,Monday,Clear,Curve
Mizoram,Some City,January,Tuesday,Stormy,Curve
Uttar Pradesh,Kanpur,February,Sunday,Foggy,Curve
Tamil Nadu,Chennai,September,Wednesday,Hazy,Curve
Tamil Nadu,Chennai,February,Friday,Rainy,Intersection
Sikkim,Some City,July,Tuesday,Stormy,Curve
Uttar Pradesh,Lucknow,November,Wednesday,Rainy,Intersection
West Bengal,Siliguri,April,Sunday,Rainy,Intersection
Haryana,Some City,December,Friday,Stormy,Intersection
Puducherry,Some City,January,Friday,Clear,Intersection
Gujarat,Vadodara,February,Monday,Hazy,Intersection
Puducherry,Some City,June,Thursday,Foggy,Curve
Rajasthan,Udaipur,November,Friday,Hazy,Intersection
Uttarakhand,Some City,June,Wednesday,Stormy,Curve
Assam,Some City,January,Saturday,Stormy,Curve
Karnataka,Mysore,April,Sunday,Stormy,Intersection
Goa,Some City,April,Friday,Foggy,Intersection
Madhya Pradesh,Some City,July,Sunday,Clear,Intersection
Goa,Some City,December,Friday,Rainy,Curve
West Bengal,Durgapur,February,Friday,Hazy,Curve
Punjab,Some City,June,Wednesday,Foggy,Curve
Sikkim,Some City,March,Monday,Foggy,Intersection
Madhya Pradesh,Some City,November,Saturday,Clear,Intersection
Delhi,New Delhi,April,Wednesday,Clear,Curve
Uttarakhand,Some City,September,Saturday,Foggy,Intersection
Uttarakhand,Some City,July,Saturday,Stormy,Intersection
Odisha,Some City,August,Thursday,Clear,Intersection
Goa,Some City,March,Sunday,Clear,Intersection
Telangana,Some City,August,Saturday,Hazy,Intersection
Tamil Nadu,Chennai,June,Saturday,Foggy,Intersection
Gujarat,Surat,March,Sunday,Clear,Intersection
Puducherry,Some City,March,Wednesday,Clear,Intersection
Uttarakhand,Some City,October,Friday,Stormy,Curve
Assam,Some City,June,Tuesday,Stormy,Curve
Nagaland,Some City,December,Thursday,Foggy,Curve
Sikkim,Some City,February,Monday,Rainy,Curve
Assam,Some City,December,Sunday,Hazy,Intersection
Nagaland,Some City,August,Wednesday,Foggy,Intersection
Goa,Some City,January,Friday,Foggy,Intersection
West Bengal,Siliguri,December,Friday,Stormy,Curve
Madhya Pradesh,Some City,July,Monday,Rainy,Curve
Sikkim,Some City,July,Wednesday,Hazy,Curve
Rajasthan,Jaipur,December,Wednesday,Foggy,Curve
Jammu and Kashmir,Some City,April,Wednesday,Hazy,Curve
Himachal Pradesh,Some City,April,Friday,Rainy,Intersection
Tripura,Some City,June,Friday,Stormy,Intersection
Goa,Some City,February,Saturday,Clear,Intersection
Telangana,Some City,May,Monday,Hazy,Curve
Meghalaya,Some City,December,Tuesday,Clear,Intersection
Tamil Nadu,Madurai,April,Friday,Rainy,Intersection
Sikkim,Some City,April,Tuesday,Rainy,Curve
Goa,Some City,October,Saturday,Stormy,Curve
Karnataka,Mangalore,February,Thursday,Stormy,Intersection
Delhi,New Delhi,February,Tuesday,Clear,Intersection
Andhra Pradesh,Tirupati,June,Tuesday,Clear,Intersection
Himachal Pradesh,Some City,July,Tuesday,Rainy,Intersection
Uttarakhand,Some City,April,Sunday,Clear,Intersection
Nagaland,Some City,March,Friday,Foggy,Intersection
Chandigarh,Some City,September,Thursday,Foggy,Intersection
Karnataka,Mysore,January,Saturday,Rainy,Intersection
Haryana,Some City,June,Friday,Rainy,Intersection
Jammu and Kashmir,Some City,August,Monday,Foggy,Intersection
Maharashtra,Mumbai,July,Saturday,Foggy,Intersection
Kerala,Some City,September,Tuesday,Stormy,Intersection
Himachal Pradesh,Some City,July,Thursday,Foggy,Curve
Puducherry,Some City,May,Thursday,Clear,Curve
Telangana,Some City,March,Monday,Stormy,Curve
Mizoram,Some City,September,Saturday,Foggy,Curve
Uttarakhand,Some City,September,Saturday,Clear,Intersection
Andhra Pradesh,Tirupati,May,Friday,Hazy,Intersection
Chandigarh,Some City,July,Thursday,Foggy,Intersection
Gujarat,Vadodara,February,Monday,Clear,Curve
Telangana,Some City,August,Friday,Foggy,Curve
Assam,Some City,November,Wednesday,Clear,Intersection
Himachal Pradesh,Some City,September,Wednesday,Rainy,Curve
Sikkim,Some City,July,Monday,Stormy,Curve
Jammu and Kashmir,Some City,June,Thursday,Hazy,Curve
Rajasthan,Udaipur,September,Saturday,Stormy,Curve
Kerala,Some City,September,Saturday,Clear,Curve
Chhattisgarh,Some City,December,Monday,Foggy,Intersection
Arunachal Pradesh,Some City,October,Thursday,Hazy,Intersection
Odisha,Some City,July,Saturday,Hazy,Intersection
Uttar Pradesh,Kanpur,November,Sunday,Foggy,Curve
Mizoram,Some City,April,Friday,Hazy,Intersection
Himachal Pradesh,Some City,February,Friday,Hazy,Curve
Andhra Pradesh,Vijayawada,October,Wednesday,Rainy,Intersection
Arunachal Pradesh,Some City,April,Tuesday,Rainy,Curve
Rajasthan,Jaipur,June,Sunday,Rainy,Intersection
Assam,Some City,February,Tuesday,Stormy,Intersection
Karnataka,Mysore,December,Monday,Foggy,Curve
Bihar,Some City,January,Saturday,Hazy,Curve
Gujarat,Surat,January,Friday,Clear,Intersection
Nagaland,Some City,November,Saturday,Clear,Curve
Nagaland,Some City,March,Saturday,Clear,Intersection
Jammu and Kashmir,Some City,August,Monday,Stormy,Intersection
Telangana,Some City,March,Wednesday,Hazy,Curve
Assam,Some City,December,Wednesday,Foggy,Curve
Goa,Some City,August,Wednesday,Rainy,Curve
Mizoram,Some City,August,Monday,Hazy,Curve
Meghalaya,Some City,July,Monday,Foggy,Intersection
Delhi,Dwarka,July,Friday,Clear,Intersection
West Bengal,Kolkata,February,Sunday,Stormy,Curve
Bihar,Some City,May,Monday,Foggy,Intersection
Rajasthan,Jaipur,April,Sunday,Clear,Curve
Madhya Pradesh,Some City,September,Tuesday,Clear,Intersection
West Bengal,Kolkata,November,Saturday,Stormy,Curve
Himachal Pradesh,Some City,July,Tuesday,Rainy,Intersection
Chhattisgarh,Some City,May,Friday,Foggy,Curve
Meghalaya,Some City,May,Saturday,Foggy,Curve
Jharkhand,Some City,December,Friday,Hazy,Curve
Goa,Some City,April,Monday,Stormy,Curve
Madhya Pradesh,Some City,January,Thursday,Foggy,Curve
Puducherry,Some City,August,Saturday,Stormy,Curve
Punjab,Some City,March,Sunday,Rainy,Intersection
Kerala,Some City,December,Thursday,Clear,Curve
Chandigarh,Some City,March,Saturday,Stormy,Intersection
Odisha,Some City,March,Thursday,Hazy,Intersection
Maharashtra,Pune,March,Thursday,Hazy,Intersection
Chandigarh,Some City,October,Monday,Clear,Intersection
Manipur,Some City,March,Friday,Stormy,Curve
Jharkhand,Some City,September,Thursday,Hazy,Curve
Odisha,Some City,November,Sunday,Rainy,Curve
Maharashtra,Nagpur,June,Thursday,Foggy,Intersection
Puducherry,Some City,March,Tuesday,Foggy,Intersection
Puducherry,Some City,August,Tuesday,Foggy,Curve
Puducherry,Some City,January,Thursday,Foggy,Intersection
Haryana,Some City,February,Saturday,Hazy,Intersection
Meghalaya,Some City,August,Friday,Rainy,Intersection
Uttarakhand,Some City,July,Sunday,Rainy,Curve
Madhya Pradesh,Some City,June,Sunday,Stormy,Curve
Nagaland,Some City,July,Thursday,Rainy,Curve
Kerala,Some City,October,Monday,Rainy,Curve
Puducherry,Some City,November,Friday,Stormy,Curve
West Bengal,Kolkata,September,Wednesday,Foggy,Intersection
Manipur,Some City,November,Saturday,Clear,Curve
Manipur,Some City,January,Saturday,Clear,Intersection
Odisha,Some City,January,Friday,Foggy,Curve
West Bengal,Durgapur,November,Friday,Foggy,Curve
Sikkim,Some City,May,Tuesday,Foggy,Intersection
Nagaland,Some City,December,Wednesday,Clear,Intersection
Jammu and Kashmir,Some City,March,Thursday,Hazy,Curve
Karnataka,Mangalore,May,Thursday,Stormy,Intersection
Uttar Pradesh,Varanasi,September,Sunday,Rainy,Curve
Madhya Pradesh,Some City,August,Saturday,Clear,Intersection
Mizoram,Some City,March,Thursday,Clear,Intersection
Uttarakhand,Some City,September,Wednesday,Rainy,Curve
Andhra Pradesh,Vijayawada,June,Monday,Foggy,Curve
Gujarat,Vadodara,September,Thursday,Rainy,Curve
Chhattisgarh,Some City,July,Saturday,Foggy,Intersection
West Bengal,Durgapur,May,Saturday,Clear,Curve
Uttar Pradesh,Lucknow,October,Friday,Clear,Intersection
Tamil Nadu,Coimbatore,September,Friday,Hazy,Intersection
Gujarat,Ahmedabad,July,Saturday,Stormy,Intersection
Mizoram,Some City,October,Thursday,Clear,Intersection
Mizoram,Some City,August,Saturday,Foggy,Curve
West Bengal,Durgapur,May,Tuesday,Hazy,Intersection
Karnataka,Mangalore,November,Monday,Hazy,Curve
Chhattisgarh,Some City,June,Tuesday,Rainy,Curve
Uttar Pradesh,Lucknow,October,Monday,Foggy,Curve
Karnataka,Mysore,July,Tuesday,Rainy,Curve
Haryana,Some City,April,Saturday,Rainy,Curve
Delhi,New Delhi,December,Thursday,Hazy,Intersection
Tamil Nadu,Madurai,June,Thursday,Stormy,Intersection
Odisha,Some City,February,Tuesday,Clear,Intersection
Meghalaya,Some City,July,Thursday,Stormy,Intersection
Manipur,Some City,January,Friday,Stormy,Curve
Delhi,New Delhi,July,Saturday,Clear,Intersection
Kerala,Some City,July,Friday,Clear,Curve
Puducherry,Some City,November,Monday,Foggy,Intersection
Andhra Pradesh,Vijayawada,November,Sunday,Rainy,Curve
Punjab,Some City,August,Wednesday,Stormy,Intersection
Punjab,Some City,March,Sunday,Clear,Intersection
Rajasthan,Udaipur,August,Monday,Stormy,Curve
Madhya Pradesh,Some City,January,Monday,Rainy,Intersection
Telangana,Some City,June,Monday,Foggy,Intersection
Tripura,Some City,July,Monday,Hazy,Curve
Nagaland,Some City,August,Saturday,Hazy,Intersection
Manipur,Some City,March,Saturday,Rainy,Curve
Gujarat,Vadodara,August,Wednesday,Clear,Intersection
Chandigarh,Some City,September,Thursday,Stormy,Intersection
Meghalaya,Some City,January,Thursday,Rainy,Curve
Meghalaya,Some City,October,Friday,Stormy,Curve
Uttarakhand,Some City,January,Monday,Clear,Intersection
Arunachal Pradesh,Some City,October,Friday,Clear,Intersection
Jammu and Kashmir,Some City,September,Saturday,Clear,Curve
Madhya Pradesh,Some City,February,Friday,Rainy,Curve
Andhra Pradesh,Visakhapatnam,November,Friday,Clear,Intersection
Bihar,Some City,January,Tuesday,Clear,Intersection
Odisha,Some City,September,Saturday,Foggy,Intersection
Gujarat,Vadodara,August,Saturday,Clear,Intersection
Uttarakhand,Some City,February,Monday,Rainy,Curve
Uttarakhand,Some City,October,Thursday,Rainy,Intersection
Tamil Nadu,Chennai,October,Sunday,Rainy,Curve
Nagaland,Some City,September,Saturday,Rainy,Curve
Manipur,Some City,May,Tuesday,Hazy,Intersection
Uttarakhand,Some City,June,Saturday,Foggy,Intersection
Maharashtra,Mumbai,February,Sunday,Rainy,Intersection
Karnataka,Bangalore,December,Thursday,Stormy,Curve
Chandigarh,Some City,April,Thursday,Foggy,Curve
Uttarakhand,Some City,June,Tuesday,Foggy,Curve
Haryana,Some City,June,Wednesday,Hazy,Curve
Haryana,Some City,June,Sunday,Clear,Curve
Sikkim,Some City,April,Wednesday,Rainy,Curve
Himachal Pradesh,Some City,March,Tuesday,Clear,Intersection
Haryana,Some City,October,Wednesday,Stormy,Curve
Odisha,Some City,December,Sunday,Stormy,Curve
Puducherry,Some City,October,Wednesday,Rainy,Intersection
Jharkhand,Some City,January,Monday,Stormy,Intersection
Bihar,Some City,December,Sunday,Hazy,Intersection
Bihar,Some City,August,Friday,Foggy,Intersection
Assam,Some City,January,Thursday,Stormy,Intersection
Odisha,Some City,April,Sunday,Rainy,Curve
Goa,Some City,January,Thursday,Rainy,Curve
West Bengal,Siliguri,October,Wednesday,Stormy,Curve
Delhi,Rohini,February,Tuesday,Hazy,Intersection
Jammu and Kashmir,Some City,February,Sunday,Foggy,Curve
Himachal Pradesh,Some City,August,Tuesday,Rainy,Curve
Jammu and Kashmir,Some City,June,Tuesday,Stormy,Curve
Uttar Pradesh,Varanasi,February,Tuesday,Hazy,Curve
Manipur,Some City,March,Friday,Rainy,Intersection
Puducherry,Some City,March,Sunday,Clear,Intersection
Odisha,Some City,December,Friday,Hazy,Intersection
Gujarat,Ahmedabad,March,Saturday,Hazy,Intersection
Telangana,Some City,September,Wednesday,Rainy,Curve
Bihar,Some City,May,Wednesday,Rainy,Intersection
Tamil Nadu,Chennai,March,Thursday,Rainy,Intersection
West Bengal,Durgapur,May,Thursday,Rainy,Curve
Chhattisgarh,Some City,August,Tuesday,Hazy,Intersection
Bihar,Some City,March,Tuesday,Hazy,Intersection
Meghalaya,Some City,May,Wednesday,Hazy,Intersection
Uttarakhand,Some City,March,Sunday,Hazy,Intersection
Kerala,Some City,December,Friday,Clear,Curve
Delhi,Dwarka,February,Wednesday,Rainy,Intersection
Jharkhand,Some City,November,Wednesday,Clear,Curve
Meghalaya,Some City,June,Friday,Hazy,Curve
Meghalaya,Some City,December,Sunday,Rainy,Curve
Uttarakhand,Some City,February,Monday,Hazy,Intersection
Tamil Nadu,Chennai,January,Sunday,Foggy,Intersection
Uttarakhand,Some City,July,Sunday,Hazy,Intersection
Meghalaya,Some City,January,Thursday,Rainy,Intersection
